customer_id,date,time_idx,revenue,plan_type,company_size
CUST_10215,2023-01-01,0,54.0,Basic,Small
CUST_10215,2023-01-31,1,54.78,Basic,Small
CUST_10215,2023-03-02,2,56.74,Basic,Small
CUST_10215,2023-04-01,3,53.41,Basic,Small
CUST_10215,2023-05-01,4,62.66,Basic,Small
CUST_10215,2023-05-31,5,56.83,Basic,Small
CUST_10215,2023-06-30,6,55.3,Basic,Small
CUST_10215,2023-07-30,7,55.28,Basic,Small
CUST_10215,2023-08-29,8,52.24,Basic,Small
CUST_10215,2023-09-28,9,52.19,Basic,Small
CUST_10215,2023-10-28,10,54.12,Basic,Small
CUST_10215,2023-11-27,11,60.65,Basic,Small
CUST_10215,2023-12-27,12,60.42,Basic,Small
CUST_10215,2024-01-26,13,62.72,Basic,Small
CUST_10215,2024-02-25,14,67.71,Basic,Small
CUST_10215,2024-03-26,15,65.2,Basic,Small
CUST_10215,2024-04-25,16,70.74,Basic,Small
CUST_10215,2024-05-25,17,66.84,Basic,Small
CUST_10215,2024-06-24,18,68.39,Basic,Small
CUST_10215,2024-07-24,19,68.62,Basic,Small
CUST_10215,2024-08-23,20,67.24,Basic,Small
CUST_10215,2024-09-22,21,68.34,Basic,Small
CUST_10215,2024-10-22,22,68.35,Basic,Small
CUST_10215,2024-11-21,23,70.17,Basic,Small
CUST_06027,2023-01-01,0,1027.94,Enterprise,Medium
CUST_06027,2023-01-31,1,1031.55,Enterprise,Medium
CUST_06027,2023-03-02,2,1230.26,Enterprise,Medium
CUST_06027,2023-04-01,3,1170.73,Enterprise,Medium
CUST_06027,2023-05-01,4,1229.38,Enterprise,Medium
CUST_06027,2023-05-31,5,1294.74,Enterprise,Medium
CUST_06027,2023-06-30,6,1216.84,Enterprise,Medium
CUST_06027,2023-07-30,7,1151.1,Enterprise,Medium
CUST_06027,2023-08-29,8,1058.81,Enterprise,Medium
CUST_06027,2023-09-28,9,1114.21,Enterprise,Medium
CUST_06027,2023-10-28,10,1156.65,Enterprise,Medium
CUST_06027,2023-11-27,11,1338.9,Enterprise,Medium
CUST_06027,2023-12-27,12,1250.47,Enterprise,Medium
CUST_06027,2024-01-26,13,1433.05,Enterprise,Medium
CUST_06027,2024-02-25,14,1355.04,Enterprise,Medium
CUST_06027,2024-03-26,15,1568.78,Enterprise,Medium
CUST_06027,2024-04-25,16,1467.81,Enterprise,Medium
CUST_06027,2024-05-25,17,1354.78,Enterprise,Medium
CUST_06027,2024-06-24,18,1370.52,Enterprise,Medium
CUST_06027,2024-07-24,19,1472.99,Enterprise,Medium
CUST_06027,2024-08-23,20,1347.85,Enterprise,Medium
CUST_06027,2024-09-22,21,1288.04,Enterprise,Medium
CUST_06027,2024-10-22,22,1363.17,Enterprise,Medium
CUST_06027,2024-11-21,23,1419.63,Enterprise,Medium
CUST_08501,2023-01-01,0,40.64,Basic,Medium
CUST_08501,2023-01-31,1,43.61,Basic,Medium
CUST_08501,2023-03-02,2,50.18,Basic,Medium
CUST_08501,2023-04-01,3,49.33,Basic,Medium
CUST_08501,2023-05-01,4,49.92,Basic,Medium
